# node id    kappa                theta                r                    x                    y                    z                    name                          
138          34.2185              3.69278              7.5307               66.5560141509        136.973466981        77.054245283         lh_rostralmiddlefrontal_1_2   
139          33.7895              3.77106              7.55593              71.154233871         152.816532258        55.3397177419        lh_parsopercularis_1_1        
140          33.6672              3.79405              7.56318              56.493407356         151.424705066        49.8445523942        lh_parstriangularis_1_1       
141          13.2543              3.82504              9.42758              78.4566929134        138.047244094        47.249343832         lh_insula_2_4                 
142          35.9277              3.84489              7.43321              91.199023199         141.301587302        81.1892551893        lh_caudalmiddlefrontal_1_1    
143          44.0498              3.85235              7.02559              97.3639661427        134.558645707        89.6783555018        lh_caudalmiddlefrontal_1_3    
144          42.7123              3.91119              7.08725              78.8920664207        155.485239852        51.5590405904        lh_parsopercularis_1_2        
145          31.2513              3.91604              7.7121               94.7078353254        140.573705179        73.2616201859        lh_caudalmiddlefrontal_1_2    
146          70.1998              3.91837              6.09354              111.078108703        120.867307915        36.3526480473        lh_thalamusproper             
147          82.4548              3.92788              5.77173              94.1772321429        128.213392857        32.2142857143        lh_pallidum                   
148          32.3957              3.96548              7.64018              110.269662921        144.211610487        84.9232209738        lh_precentral_3_5             
149          59.1216              4.01389              6.43703              152.741644083        128.579042457        78.4733514002        lh_superiorparietal_1_1       
150          21.1678              4.07562              8.49127              135.419106317        133.460708783        86.4391371341        lh_postcentral_1_2            
151          32.2078              4.11487              7.65181              123.034205231        132.507042254        92.1810865191        lh_precentral_2_3             
152          56.341               4.16319              6.53338              169.630669546        127.332613391        72.6328293737        lh_superiorparietal_2_4       
153          32.7141              4.21843              7.62062              120.06227758         139.622775801        83.4306049822        lh_precentral_2_4             
154          39.4564              4.24202              7.24583              110.929443691        141.972862958        42.6852103121        lh_insula_1_1                 
155          36.459               4.24615              7.40385              170.220321932        144.481891348        54.338028169         lh_inferiorparietal_2_4       
156          33.6157              4.24717              7.56624              146.230105465        141.610738255        74.8715244487        lh_superiorparietal_1_2       
157          25.9766              4.25483              8.08183              160.064695009        136.439926063        62.8502772643        lh_superiorparietal_2_3       
158          15.1974              4.27346              9.15398              130.148648649        147.523341523        81.7800982801        lh_postcentral_2_3            
159          15.8465              4.32592              9.07034              119.792828685        148.836653386        78.3346613546        lh_postcentral_2_4            
160          24.9965              4.33478              8.15876              108.202496533        150.628294036        68.8876560333        lh_precentral_3_6             
161          14.82                4.3405               9.20427              139.264397906        149.034031414        68.1719022688        lh_supramarginal_2_5          
162          30.8414              4.36679              7.73851              145.100821509        158.622106049        60.3472740851        lh_supramarginal_2_4          
163          16.0628              4.36976              9.04321              104.66802444         162.649694501        60.8655804481        lh_postcentral_3_6            
164          14.5307              4.37461              9.2437               114.730769231        160.220512821        68.3243589744        lh_postcentral_3_5            
165          9.7242               4.42106              10.047               133.384493671        158.370253165        62.5806962025        lh_supramarginal_2_3          
166          12.4149              4.42469              9.55843              121.65403423         160.743276284        59.5097799511        lh_supramarginal_1_2          
167          15.1205              4.43921              9.16413              108.053359684        159.236166008        48.1432806324        lh_postcentral_3_7            
168          17.4271              4.45686              8.88018              131.773097826        162.17798913         35.9116847826        lh_bankssts_1_1               
169          10.115               4.46557              9.96819              125.616087751        152.619744059        51.0329067642        lh_supramarginal_1_1          
170          19.133               4.46831              8.6934               130.805970149        158.34079602         27.7114427861        lh_bankssts_1_2               
171          15.1267              4.49101              9.1633               129.258267717        161.683464567        43.5606299213        lh_superiortemporal_1_1       
172          24.4716              4.49515              8.2012               91.103196347         156.959817352        49.2666666667        lh_precentral_4_8             
